cohort,n,minimum_retained_n,maximum_retained_n,locf_lower_absolute_error_n,equal_absolute_error_n,locf_higher_absolute_error_n,locf_median_absolute_bps,locf_p99_absolute_bps,locf_maximum_absolute_bps,locf_maximum_first_twap_source_ms,retained_median_absolute_bps,retained_p99_absolute_bps,retained_maximum_absolute_bps,retained_maximum_first_twap_source_ms
complete,27434,60,60,0,27434,0,3.1744181321570683913579928320636737551363294916805448370103526527997744027105227E-12,0.20576563429429639332763305009071926252679862889134525105360927592314167228479828,1.3950734330203366168592302407441314346873550258155533486722945370306243279910318,1789121618000,3.1744181321570683913579928320636737551363294916805448370103526527997744027105227E-12,0.20576563429429639332763305009071926252679862889134525105360927592314167228479828,1.3950734330203366168592302407441314346873550258155533486722945370306243279910318,1789121618000
incomplete,56807,47,59,46867,0,9940,0.0025836962592096535633636055077947763049318907423737540270537699485981853214682717,0.26618710359216210375855095955578437108935984304963492577507905243821184422874820,1.0730717566617671359270468590578849891430107596280611389924364134876948859474681,1789142079000,0.020777109514955813578575610408214112828411311714734906277851961713367771514355913,0.43766449212730101214016686176177119328876673072113611626509470004298985140227538,3.5549744597146643522330746360505690891329825552374799090481573019795914210150046,1789134607000
all_paired,84241,47,60,46867,27434,9940,0.0011091487192296045502588222659478584838466477155804629674761689384284460783661995,0.25029711785876174730350940042704456013546196204398019060159888991717803190562196,1.3950734330203366168592302407441314346873550258155533486722945370306243279910318,1789121618000,0.011633565063594370899955198122073290899460452725890140730321208896728364029140706,0.37455660515251523053442977847522995806956017770642205837049778989231098643893262,3.5549744597146643522330746360505690891329825552374799090481573019795914210150046,1789134607000
