t_sec,N,U,L,n,loss_rate,wilson_95_low,wilson_95_high,resolved_mean_ask,gross_payout_sum,gross_ask_sum,gross_pnl_sum,gross_pnl_mean,fixed_mean_ask_wilson_screen_lower
120,6068,25,1142,6043,0.188978983948370014893264934635115009101439682277014727784213,0.179307104395163512452957564017659277852326938942009884378008,0.199046036562973697742473585703324103466792887599500849769178,0.813960615588283964918087042859506867449942081747476418997187,4901,4918.76400000,-17.76400000,-0.00293959953665397981135197749462187655138176402449114678139997,-0.013006652151257662660560628562830970916734969346977268766365
90,6098,25,921,6073,0.151654865799440144903671990778857236950436357648608595422361,0.142854105586313343422192649917644199041077887528652448470704,0.160896036873205166471440607279867797160936827967683398249794,0.854322081343652231187222130742631318952741643339370986332949,5152,5188.29800000,-36.29800000,-0.00597694714309237609089412152148855590317800098797958175531039,-0.015218118216857397658662738022499116113678471307054384582743
60,6275,25,633,6250,0.10128,0.0940435389721604179076588871379855586425895605127964618220505,0.109006293228119245891100797509536686967842209018393814591412,0.89910080,5617,5619.38000000,-2.38000000,-0.00038080,-0.008107093228119245891100797509536686967842209018393814591412
30,6785,27,359,6758,0.0531222255105060668836934004143237644273453684522047943178455,0.0480244233171638979579269086136411981091769932191573626631728,0.0587277777240281596400090680581208779049423488893464898726320,0.948874667061260728026043208049718851731281444214264575318141,6399,6412.49500000,-13.49500000,-0.00199689257176679490973660846404261615862681266646936963598698,-0.0076024447852888876660522761078397296362237931036110651907730
15,6960,27,214,6933,0.0308668685994518967258041251983268426366652242896293091013991,0.0270482792500358561362046785497975631704284651361410340743002,0.0352050476256384567600444430351656467754149590862020600631722,0.969672580412519832684263666522428962930910139910572623683831,6719,6722.74000000,-3.74000000,-0.000539449011971729410067791720755805567575364200201932785230059,-0.0048776280381582894443081095575946097063250989967746837470032
10,7005,25,142,6980,0.0203438395415472779369627507163323782234957020057306590257880,0.0172862169211699357710237760768604295747485201745730109205575,0.0239291314680959951782889631952052244495963360503529868413189,0.980159025787965616045845272206303724928366762177650429799427,6838,6841.51000000,-3.51000000,-0.000502865329512893982808022922636103151862464183381088825214900,-0.0040881572560616112241342354015089493779630982280034166407459
5,7071,26,81,7045,0.0114975159687721788502484031227821149751596877217885024840312,0.00926079687251264884600730878240595378845664419727283033114584,0.0142666806270933952759598375628100350541136023558468318375748,0.988342512420156139105748757984386089425124201561391057487580,6964,6962.87300000,1.12700000,0.000159971611071682044002838892831795599716110716820440028388928,-0.0026091930472495343817085955471961244792378039172378893251548
3,7099,25,61,7074,0.00862312694373763076053152389030251625671472999717274526434832,0.00671935338305770197147745654973746708273823476033712359658719,0.0110602845973699857320825186744143161928683028443554754072565,0.991100367543115634718688153802657619451512581283573649985864,7013,7011.04400000,1.95600000,0.000276505513146734520780322307039864291772688719253604749787956,-0.0021606521404856204507706724770719356443808841279291253931205
