t_sec,rows,study_input_unavailable_N,study_tie_N,full_N,full_U,full_L,full_n,full_loss_rate,full_wilson_95_low,full_wilson_95_high,matched_N,matched_U,matched_L,matched_n,matched_loss_rate,matched_wilson_95_low,matched_wilson_95_high,matched_resolved_mean_ask,matched_gross_payout_sum,matched_gross_ask_sum,matched_gross_pnl_sum,matched_gross_pnl_mean,matched_fixed_mean_ask_wilson_screen_lower,excluded_N,excluded_U,excluded_L,excluded_n,excluded_loss_rate,excluded_wilson_95_low,excluded_wilson_95_high,bid_source_old_N,ask_source_old_N,bid_source_future_N,ask_source_future_N,bid_received_stale_N,ask_received_stale_N,bid_received_future_N,ask_received_future_N,quote_row_stale_N,both_sources_old_common_fresh_N,only_bid_unavailable_with_fresh_ask_N,only_bid_source_old_with_fresh_ask_N,only_bid_received_stale_with_fresh_ask_N
120,8014,516,0,7498,27,1568,7471,0.209878195690001338508901084192209878195690001338508901084192,0.200794473579433727651593305666420128392926955013489319117450,0.219260115687542774879287949335940923044060727700927695488248,6068,25,1142,6043,0.188978983948370014893264934635115009101439682277014727784213,0.179307104395163512452957564017659277852326938942009884378008,0.199046036562973697742473585703324103466792887599500849769178,0.813960615588283964918087042859506867449942081747476418997187,4901,4918.76400000,-17.76400000,-0.00293959953665397981135197749462187655138176402449114678139997,-0.013006652151257662660560628562830970916734969346977268766365,1430,2,426,1428,0.298319327731092436974789915966386554621848739495798319327731,0.275156270116961414048973512110417016695295360711127501266970,0.322564555431413059053081329886358877598293818377047337022608,1181,1181,0,0,70,70,0,0,70,1111,0,0,0
90,8014,541,0,7473,26,1266,7447,0.170001342822613132805156438834429971800725124211091714784477,0.161640545399058077018113620329309531890570798640251096804450,0.178702417585160698828093307704269834527827558125070644680306,6098,25,921,6073,0.151654865799440144903671990778857236950436357648608595422361,0.142854105586313343422192649917644199041077887528652448470704,0.160896036873205166471440607279867797160936827967683398249794,0.854322081343652231187222130742631318952741643339370986332949,5152,5188.29800000,-36.29800000,-0.00597694714309237609089412152148855590317800098797958175531039,-0.015218118216857397658662738022499116113678471307054384582743,1375,1,345,1374,0.251091703056768558951965065502183406113537117903930131004367,0.228878131848472837409592022520017973459868189422249850627688,0.274693200236830180999513901647694154287598749508111364681802,1117,1117,0,0,78,78,0,0,78,1039,0,0,0
60,8014,527,0,7487,27,904,7460,0.121179624664879356568364611260053619302949061662198391420912,0.113968618429057358515371339806937469677039543659016689965977,0.128780570285217618786842725084111481469522791441424780554027,6275,25,633,6250,0.10128,0.0940435389721604179076588871379855586425895605127964618220505,0.109006293228119245891100797509536686967842209018393814591412,0.89910080,5617,5619.38000000,-2.38000000,-0.00038080,-0.008107093228119245891100797509536686967842209018393814591412,1212,2,271,1210,0.223966942148760330578512396694214876033057851239669421487603,0.201371202069198727466841642137049889400816360389985469145242,0.248309812575832088556013719839803760796008147715049904388364,1111,1111,0,0,226,226,0,0,226,885,0,0,0
30,8014,543,0,7471,27,478,7444,0.0642127888232133261687264911337990327780763030628694250403009,0.0588658834240570402074425727418354137322544687070689235135299,0.0700092361831045911203876777226005020314764482465018045347779,6785,27,359,6758,0.0531222255105060668836934004143237644273453684522047943178455,0.0480244233171638979579269086136411981091769932191573626631728,0.0587277777240281596400090680581208779049423488893464898726320,0.948874667061260728026043208049718851731281444214264575318141,6399,6412.49500000,-13.49500000,-0.00199689257176679490973660846404261615862681266646936963598698,-0.0076024447852888876660522761078397296362237931036110651907730,686,0,119,686,0.173469387755102040816326530612244897959183673469387755102041,0.146973026638829593953085653641255188550341087609810866263778,0.203602392870067097875556435089653493509533770111438548323638,423,423,0,0,82,82,0,0,82,341,0,0,0
15,8014,525,0,7489,27,282,7462,0.0377914768158670597694987938890377914768158670597694987938890,0.0336972285567329329061838334308637439704759778661066510052086,0.0423613727345929721552389190161901867032859580476440560699342,6960,27,214,6933,0.0308668685994518967258041251983268426366652242896293091013991,0.0270482792500358561362046785497975631704284651361410340743002,0.0352050476256384567600444430351656467754149590862020600631722,0.969672580412519832684263666522428962930910139910572623683831,6719,6722.74000000,-3.74000000,-0.000539449011971729410067791720755805567575364200201932785230059,-0.0048776280381582894443081095575946097063250989967746837470032,529,0,68,529,0.128544423440453686200378071833648393194706994328922495274102,0.102678175194616923283329555009854357685668610649504158903946,0.159766603652353420546920094701005272656306988874342682072714,476,476,0,0,260,260,0,0,260,216,0,0,0
10,8014,537,0,7477,26,194,7451,0.0260367735874379277949268554556435377801637364112199704737619,0.0226578855205318110700612062554625032452792290136659512316451,0.0299041254873697323407236573840883593494570422257556008792325,7005,25,142,6980,0.0203438395415472779369627507163323782234957020057306590257880,0.0172862169211699357710237760768604295747485201745730109205575,0.0239291314680959951782889631952052244495963360503529868413189,0.980159025787965616045845272206303724928366762177650429799427,6838,6841.51000000,-3.51000000,-0.000502865329512893982808022922636103151862464183381088825214900,-0.0040881572560616112241342354015089493779630982280034166407459,472,1,52,471,0.110403397027600849256900212314225053078556263269639065817410,0.0851917384684014473712424266811570983620832797242272374013331,0.141918714541592280926498066138008743511013046797703025327579,419,419,0,0,252,252,0,0,252,167,1,0,0
5,8014,521,0,7493,27,110,7466,0.0147334583444950442003750334851326011251004553978033753013662,0.0122393822440253839822159336545494418471631579068588559776036,0.0177266431468312025279756507088753591510606068496939322611976,7071,26,81,7045,0.0114975159687721788502484031227821149751596877217885024840312,0.00926079687251264884600730878240595378845664419727283033114584,0.0142666806270933952759598375628100350541136023558468318375748,0.988342512420156139105748757984386089425124201561391057487580,6964,6962.87300000,1.12700000,0.000159971611071682044002838892831795599716110716820440028388928,-0.0026091930472495343817085955471961244792378039172378893251548,422,1,29,421,0.0688836104513064133016627078384798099762470308788598574821853,0.0483862326490055104049308912458694542985434425934463864396094,0.0971773829933052757015580182593981851292938612159484253603648,369,369,0,0,249,249,0,0,249,120,0,0,0
3,8014,517,0,7497,26,84,7471,0.0112434747691072145629768437960112434747691072145629768437960,0.00909125119945366763874707984362805994587586124385918116559587,0.0138980603153628024842115834279388970655015428768761031862897,7099,25,61,7074,0.00862312694373763076053152389030251625671472999717274526434832,0.00671935338305770197147745654973746708273823476033712359658719,0.0110602845973699857320825186744143161928683028443554754072565,0.991100367543115634718688153802657619451512581283573649985864,7013,7011.04400000,1.95600000,0.000276505513146734520780322307039864291772688719253604749787956,-0.0021606521404856204507706724770719356443808841279291253931205,398,1,23,397,0.0579345088161209068010075566750629722921914357682619647355164,0.0389117020538386053983371808953434728276980245402852293782456,0.0854303731579707339792147817407968214036409394324932972709854,324,324,0,0,223,223,0,0,223,101,0,0,0
