t_sec,x_bin,y_bin,ask_band,N,U,L,n,loss_rate,wilson_95_low,wilson_95_high,resolved_mean_ask,gross_payout_sum,gross_ask_sum,gross_pnl_sum,gross_pnl_mean,fixed_mean_ask_wilson_screen_lower
120,"[0,1)","[-2,0)","[0.98,1)",1,0,0,1,0,0,0.793450685622762572644686990659235135454905747938657255997644,0.99000000,1,0.99000000,0.01000000,0.01000000,-0.783450685622762572644686990659235135454905747938657255997644
120,"[0,1)","[-2,0)",ask=1,0,0,0,0,,,,,0,0,0,,
120,"[0,1)","[0,2)",ask=0,0,0,0,0,,,,,0,0,0,,
120,"[0,1)","[0,2)","(0,0.90)",431,1,135,430,0.313953488372093023255813953488372093023255813953488372093023,0.271898895785184925836365884558157333150693679492401559686680,0.359302786887268688206107503092847977096690730127779342953736,0.675325581395348837209302325581395348837209302325581395348837,295,290.39000000,4.61000000,0.0107209302325581395348837209302325581395348837209302325581395,-0.034628368282617525415409828674243325933900032453360738302573
120,"[0,1)","[0,2)","[0.90,0.95)",36,0,0,36,0,0,0.0964186285944636615382445947927992309228324969090787481472514,0.918333333333333333333333333333333333333333333333333333333333,36,33.06000000,2.94000000,0.0816666666666666666666666666666666666666666666666666666666667,-0.0147519619277969948715779281261325642561658302424120814805844
120,"[0,1)","[0,2)","[0.95,0.98)",11,0,0,11,0,0,0.258832966968031690622885270690496860752291234813264358589584,0.954545454545454545454545454545454545454545454545454545454545,11,10.50000000,0.50000000,0.0454545454545454545454545454545454545454545454545454545454545,-0.213378421513486236077430725235951406206836689358718904044129
120,"[0,1)","[0,2)","[0.98,1)",2,0,0,2,0,0,0.657619772493346908066213171022805867761678469589830388837810,0.98000000,2,1.96000000,0.04000000,0.02000000,-0.637619772493346908066213171022805867761678469589830388837810
120,"[0,1)","[0,2)",ask=1,0,0,0,0,,,,,0,0,0,,
120,"[0,1)",>=2,ask=0,0,0,0,0,,,,,0,0,0,,
120,"[0,1)",>=2,"(0,0.90)",59,0,9,59,0.152542372881355932203389830508474576271186440677966101694915,0.0823846399859648041037741424716173405453062444939424177011880,0.265179837837735594672955256675237379752079364640924183613322,0.780338983050847457627118644067796610169491525423728813559322,50,46.04000000,3.96000000,0.0671186440677966101694915254237288135593220338983050847457627,-0.045518820888583052300073900743033989921570890064652997172644
