panel,t_sec,basis,x_bin,y_bin,N,U,L,n,leader_loss_rate
fresh_3s,30,projected_close,"[0,1)","[-2,0)",114,0,16,114,0.14035087719298245614035087719298245614035087719298245614035087719298245614035088
fresh_3s,30,projected_close,"[0,1)","[0,2)",128,0,15,128,0.1171875
fresh_3s,30,projected_close,"[0,1)",>=2,1,0,0,1,0
fresh_3s,30,projected_close,"[1,2)",<-2,1,0,0,1,0
fresh_3s,30,projected_close,"[1,2)","[-2,0)",117,0,3,117,0.025641025641025641025641025641025641025641025641025641025641025641025641025641026
fresh_3s,30,projected_close,"[1,2)","[0,2)",134,0,1,134,0.0074626865671641791044776119402985074626865671641791044776119402985074626865671642
fresh_3s,30,projected_close,"[1,2)",>=2,3,0,0,3,0
fresh_3s,30,projected_close,"[2,4)",<-2,2,0,0,2,0
fresh_3s,30,projected_close,"[2,4)","[-2,0)",165,0,0,165,0
fresh_3s,30,projected_close,"[2,4)","[0,2)",218,0,0,218,0
fresh_3s,30,projected_close,"[2,4)",>=2,1,0,0,1,0
fresh_3s,30,projected_close,"[4,8)",<-2,6,0,0,6,0
fresh_3s,30,projected_close,"[4,8)","[-2,0)",183,0,0,183,0
fresh_3s,30,projected_close,"[4,8)","[0,2)",290,0,1,290,0.0034482758620689655172413793103448275862068965517241379310344827586206896551724138
fresh_3s,30,projected_close,"[4,8)",>=2,7,0,0,7,0
fresh_3s,30,projected_close,"[8,infinity)",<-2,13,0,0,13,0
fresh_3s,30,projected_close,"[8,infinity)","[-2,0)",180,0,0,180,0
fresh_3s,30,projected_close,"[8,infinity)","[0,2)",298,0,0,298,0
fresh_3s,30,projected_close,"[8,infinity)",>=2,26,0,0,26,0
fresh_3s,15,raw_twap,"[0,1)",<-2,22,0,21,22,0.95454545454545454545454545454545454545454545454545454545454545454545454545454545
fresh_3s,15,raw_twap,"[0,1)","[-2,0)",103,0,23,103,0.22330097087378640776699029126213592233009708737864077669902912621359223300970874
fresh_3s,15,raw_twap,"[0,1)","[0,2)",125,0,2,125,0.016
fresh_3s,15,raw_twap,"[0,1)",>=2,26,0,0,26,0
fresh_3s,15,raw_twap,"[1,2)",<-2,22,0,8,22,0.36363636363636363636363636363636363636363636363636363636363636363636363636363636
fresh_3s,15,raw_twap,"[1,2)","[-2,0)",79,0,1,79,0.012658227848101265822784810126582278481012658227848101265822784810126582278481013
fresh_3s,15,raw_twap,"[1,2)","[0,2)",105,0,0,105,0
fresh_3s,15,raw_twap,"[1,2)",>=2,25,0,0,25,0
