topic,symbol,delay_ms,spot_price,spot_topic,twap_price,connection_id,instrument_id,twap_price_e18,receive_sequence,spot_received_ms,received_monotonic_ns,spot_sample_second_ms,twap_events_for_stamp,unexpected_identity_n,conflicting_twap_price,spot_provider_event_ms,twap_provider_event_ms,spot_provider_message_ms,twap_provider_message_ms,twap_earliest_received_ms,spot_receipt_minus_source_ms,twap_receipt_minus_source_ms,spot_publisher_minus_source_ms,twap_earliest_received_wall_ns,twap_publisher_minus_source_ms,spot_receipt_minus_publisher_ms,twap_receipt_minus_publisher_ms
crypto_prices_twap_sixty,btc/usd,-524,78705.905883005000000000,crypto_prices_chainlink,78706.922606282407936000,6b6331be-dafa-4ada-96a7-78245db5484c,4,78706922606282407936000,5466,1788235392288,4770421533845203,1788235384000,1,0,False,1788235384000,1788235387000,1788235390775,1788235391271,1788235391764,8288,4764,6775,1788235391764477530,4271,1513,493
crypto_prices_twap_sixty,btc/usd,-522,77518.499498890000000000,crypto_prices_chainlink,77511.489825350612942848,7c7053e2-d4f7-4e5c-8561-b0fbfdc3b976,4,77511489825350612942848,4,1788325062584,4860091831494619,1788325050000,1,0,False,1788325050000,1788325053000,1788325051181,1788325054237,1788325062062,12584,9062,1181,1788325062062127037,1237,11403,7825
crypto_prices_twap_sixty,btc/usd,-1517,77518.144873814400000000,crypto_prices_chainlink,77512.727698633677340672,7c7053e2-d4f7-4e5c-8561-b0fbfdc3b976,4,77512727698633677340672,7,1788325066412,4860094665348395,1788325054000,1,0,False,1788325054000,1788325057000,1788325055031,1788325058402,1788325064895,12412,7895,1031,1788325064895980652,1402,11381,6493
crypto_prices_twap_sixty,btc/usd,-1137,77518.109010310000000000,crypto_prices_chainlink,77513.938376246352150528,7c7053e2-d4f7-4e5c-8561-b0fbfdc3b976,4,77513938376246352150528,10,1788325068087,4860096719974595,1788325058000,1,0,False,1788325058000,1788325061000,1788325059009,1788325062595,1788325066950,10087,5950,1009,1788325066950606803,1595,9078,4355
crypto_prices_twap_sixty,btc/usd,-19,77518.112723000300000000,crypto_prices_chainlink,77514.543129055161483264,7c7053e2-d4f7-4e5c-8561-b0fbfdc3b976,4,77514543129055161483264,11,1788325067368,4860097118790911,1788325060000,1,0,False,1788325060000,1788325063000,1788325061036,1788325064286,1788325067349,7368,4349,1036,1788325067349423129,1286,6332,3063
crypto_prices_twap_sixty,btc/usd,-76,77518.119346074960000000,crypto_prices_chainlink,77515.771586999318740992,7c7053e2-d4f7-4e5c-8561-b0fbfdc3b976,4,77515771586999318740992,15,1788325071873,4860101566732625,1788325064000,1,0,False,1788325064000,1788325067000,1788325064824,1788325068276,1788325071797,7873,4797,824,1788325071797365233,1276,7049,3521
crypto_prices_twap_sixty,btc/usd,-482,77433.929429792700000000,crypto_prices_chainlink,77408.156756239915679744,0324c964-27a5-4868-84b6-ed1d2607e78a,4,77408156756239915679744,2520,1788402071740,4937101028271529,1788402066000,1,0,False,1788402066000,1788402069000,1788402067552,1788402070880,1788402071258,5740,2258,1552,1788402071258904178,1880,4188,378
crypto_prices_twap_sixty,btc/usd,-32829,79801.510262870600000000,crypto_prices_chainlink,79786.990333721692864512,dc0fc653-9fdf-47b3-b827-544fa7a0e91b,4,79786990333721692864512,1294,1788556270258,5091267198622393,1788556233000,1,0,False,1788556233000,1788556236000,1788556234263,1788556237179,1788556237429,37258,1429,1263,1788556237429254901,1179,35995,250
crypto_prices_twap_sixty,btc/usd,-94,80370.451816184370000000,crypto_prices_chainlink,80419.406379969843036160,485f5b34-1e8d-44f7-be38-95ee037299f3,4,80419406379969843036160,1447,1788738266928,5273296603467351,1788738262000,1,0,False,1788738262000,1788738265000,1788738263253,1788738266459,1788738266834,4928,1834,1253,1788738266834099599,1459,3675,375
