shift_seconds_a,n,median_absolute_bps,p99_absolute_bps,maximum_absolute_bps,common_n,common_median_absolute_bps,common_p99_absolute_bps,common_maximum_absolute_bps
-4,27415,0.042595835257708758813320163684102205846915334315015194158879561963207178680516065,0.52277162962157498770433439578691060958681290676925038468750415651501165094630642,2.0664656391033287909076187872289151536588311126571877134602893519121412888929617,24285,0.042397081412628995331194016382033238436827715181382149820881814202091698164540015,0.50840917260527457313687153972021105320329209053665619613685771064539588289685046,2.0664656391033287909076187872289151536588311126571877134602893519121412888929617
-3,27434,3.1744181321570683913579928320636737551363294916805448370103526527997744027105227E-12,0.20576563429429639332763305009071926252679862889134525105360927592314167228479828,1.3950734330203366168592302407441314346873550258155533486722945370306243279910318,24285,3.1138543281423849164330865169413193174033709504945614628936838658709057339710775E-12,0.20027362482460311423784280234393668948079411084316362061513326986990396212297303,1.3950734330203366168592302407441314346873550258155533486722945370306243279910318
-2,27469,0.025002164267555971573551783261171565979938236604303286411968329862789526831754558,0.37123052784885928573643277348380495664421874685114784609799017919518009322152834,1.5344228417179053783064332428506666254625132831940332799662277323971568715332826,24285,0.025469322141275941047097010594046051712859666641187475783110601518702568629808414,0.36910633417153938880497229031835087808683174675751429944212882349486854921628074,1.5344228417179053783064332428506666254625132831940332799662277323971568715332826
-1,27478,0.065051982840944711838062818092693090781733014034418460302329073924854415409973474,0.74049109380287700279877151048842260824144888156178453839180751128958675130210061,2.0681460385255772169164844224580590356080575428644714072665037672519625628253791,24285,0.065472211398959663748146649308907549298444863057724167229648042112108665598563749,0.73728820602971474152659262787465898427225717458925870751159942839806945981632777,2.0681460385255772169164844224580590356080575428644714072665037672519625628253791
0,27933,0.10407031308153020444680925655450113322234513848333939689503887245042080382681889,1.1248510092811224694838689914037351715421802297600631637314592128467489387298574,3.0970577299908469142346642353803197319029056662835901458648107233044934249050997,24285,0.10433961056733271659255875316393326935317257726838736840275725055862941886884772,1.1143487681014289521329198139923010771998778433848588461146796438585201184033144,3.0970577299908469142346642353803197319029056662835901458648107233044934249050997
1,27935,0.14265865258280688737965845288197153739587981037240459624602133963694320601481862,1.5122159612968469417215177410066577203095676052544060335552520775540937517414339,4.1090885654421454654459107576091816354131265044650665872139575159591129772118545,24285,0.14239372730052188404945454175645731923784797777052345364808293537016950744425637,1.5002090498700518093176318839219453976122511102672461997202156363293199779648344,4.1090885654421454654459107576091816354131265044650665872139575159591129772118545
2,27938,0.18029268388416764814315428193478855055189992758749101674718794586908148547146760,1.9017852682946009384773507139449693668338569002990902664023495459503807876449415,5.0753129178922647051096049198522623604788737626481835928655988896814531131650755,24285,0.17969345024182455491214622223028470555347922645200507835394060031520728698566940,1.8893614034583961871317762375382432800844443114260678227527589512841535607069886,5.0753129178922647051096049198522623604788737626481835928655988896814531131650755
3,27938,0.21814619024371969324581212522416062918119362818151452028925718625889763799038650,2.2823086927969605345271246640960330427776531910311159469946409333289573402136116,6.0272878908544183535579626262284835785442705429620679318084835200206575457392261,24285,0.21773639276709955477127712044356526705959227639272552304936610061412681503655804,2.2659749125408299399732461070395145619935580654113354695785766356705133566227949,6.0272878908544183535579626262284835785442705429620679318084835200206575457392261
4,27938,0.25592034414376062841314586045333885987228908345631197862710326885994316930433004,2.6480883858881352860763624312750225426798159887934412861992653414214199294369095,6.9652902349335875026141934773513777856616322276926072371066168731161449745431974,24285,0.25536478911682935811298366775728277011292814898850843695474821498124903743081323,2.6344196737593011814115831920073153331944611735278610791177751675511801437596770,6.9652902349335875026141934773513777856616322276926072371066168731161449745431974
