tsec,n,proj_err_p50_bps,proj_err_p90_bps,twap_err_p50_bps,spot_err_p50_bps,proj_side_ok_pct,twap_side_ok_pct,spot_side_ok_pct,proj_correct_n,proj_pilot_error_n,twap_correct_n,twap_pilot_error_n,spot_correct_n,spot_pilot_error_n,selected_missing_open_n,selected_missing_close_n,selected_missing_winner_n,selected_split_n,inferred_side_eligible_n,winner_comparison_eligible_n,inferred_vs_official_winner_disagreement_n,proj_official_correct_n,twap_official_correct_n,spot_official_correct_n,selected_imputed_rows_n,selected_imputed_slots_n,min_known_n,max_known_n,both_proj_twap_correct_n,projection_only_correct_n,twap_only_correct_n,both_proj_twap_wrong_n,resolved_cohort_n,excluded_from_pilot_n,cohort_missing_twap_n,cohort_missing_spot_n,cohort_insufficient_constituents_n,cohort_missing_open_n,cohort_missing_close_n,cohort_missing_winner_n,cohort_start_ms,cohort_end_ms,snapshot_ms,transaction_read_only,transaction_isolation,statement_timeout
60,1918,0.96,3.51,1.53,0.96,92.60,87.75,92.60,1776,142,1683,235,1776,142,0,0,0,0,1918,1918,0,1776,1683,1776,81,81,1,2,1645,131,38,104,2016,98,96,96,0,0,0,0,1788220800000,1788825600000,1789308109886,on,repeatable read,30s
30,1752,0.23,1.11,0.83,0.45,98.06,93.55,96.75,1718,34,1639,113,1695,57,0,0,0,0,1752,1752,0,1718,1639,1695,1117,1838,29,32,1627,91,12,22,2016,264,97,98,203,0,0,0,1788220800000,1788825600000,1789308109886,on,repeatable read,30s
15,1574,0.06,0.34,0.42,0.61,99.43,97.27,95.87,1565,9,1531,43,1509,65,0,0,0,0,1574,1574,0,1565,1531,1509,1180,2151,44,47,1523,42,8,1,2016,442,90,91,385,0,0,0,1788220800000,1788825600000,1789308109886,on,repeatable read,30s
10,1481,0.03,0.16,0.28,0.70,99.93,97.91,94.53,1480,1,1450,31,1400,81,0,0,0,0,1481,1481,0,1480,1450,1400,1157,2169,49,52,1450,30,0,1,2016,535,107,105,467,0,0,0,1788220800000,1788825600000,1789308109886,on,repeatable read,30s
5,1405,0.02,0.10,0.14,0.84,100.00,99.22,93.45,1405,0,1394,11,1313,92,0,0,0,0,1405,1405,0,1405,1394,1313,1127,2139,54,57,1394,11,0,0,2016,611,84,89,562,0,0,0,1788220800000,1788825600000,1789308109886,on,repeatable read,30s
3,1374,0.02,0.10,0.09,0.88,100.00,99.49,93.52,1374,0,1367,7,1285,89,0,0,0,0,1374,1374,0,1374,1367,1285,1119,2143,56,59,1367,7,0,0,2016,642,101,99,583,0,0,0,1788220800000,1788825600000,1789308109886,on,repeatable read,30s
