t_sec,rows,study_input_unavailable_N,study_tie_N,full_N,full_U,full_L,full_resolved,full_loss_rate,full_wilson_95_low,full_wilson_95_high,matched_N,matched_U,matched_L,matched_resolved,matched_loss_rate,matched_wilson_95_low,matched_wilson_95_high,matched_ask_eq_0_N,matched_ask_eq_1_N,median_bid,median_ask,ask_available_N,bid_available_N,ask_only_N,bid_only_N,paired_quote_N,crossed_quote_N,neither_available_N,ask_available_eq_0_N,ask_available_eq_1_N,excluded_no_quote_row_N,excluded_token_mismatch_N,excluded_quote_sample_stale_N,excluded_quote_received_stale_N,excluded_ask_price_missing_N,excluded_ask_price_invalid_N,excluded_ask_source_clock_missing_or_invalid_N,excluded_ask_source_age_N,excluded_ask_received_clock_missing_or_invalid_N,excluded_ask_received_age_N,excluded_bid_price_missing_N,excluded_bid_price_invalid_N,excluded_bid_source_clock_missing_or_invalid_N,excluded_bid_source_age_N,excluded_bid_received_clock_missing_or_invalid_N,excluded_bid_received_age_N,excluded_crossed_quote_N
120,8014,516,0,7498,27,1568,7471,0.209878195690001338508901084192209878195690001338508901084192,0.200794473579433727651593305666420128392926955013489319117450,0.219260115687542774879287949335940923044060727700927695488248,6068,25,1142,6043,0.188978983948370014893264934635115009101439682277014727784213,0.179307104395163512452957564017659277852326938942009884378008,0.199046036562973697742473585703324103466792887599500849769178,0,516,0.88000000,0.89000000,6068,6068,0,0,6068,0,1430,0,516,249,249,32,70,249,0,249,1181,249,70,249,0,249,1181,249,70,0
90,8014,541,0,7473,26,1266,7447,0.170001342822613132805156438834429971800725124211091714784477,0.161640545399058077018113620329309531890570798640251096804450,0.178702417585160698828093307704269834527827558125070644680306,6098,25,921,6073,0.151654865799440144903671990778857236950436357648608595422361,0.142854105586313343422192649917644199041077887528652448470704,0.160896036873205166471440607279867797160936827967683398249794,0,1345,0.94000000,0.95000000,6098,6098,0,0,6098,0,1375,0,1345,258,258,42,78,258,0,258,1117,258,78,258,0,258,1117,258,78,0
60,8014,527,0,7487,27,904,7460,0.121179624664879356568364611260053619302949061662198391420912,0.113968618429057358515371339806937469677039543659016689965977,0.128780570285217618786842725084111481469522791441424780554027,6275,25,633,6250,0.10128,0.0940435389721604179076588871379855586425895605127964618220505,0.109006293228119245891100797509536686967842209018393814591412,0,2884,0.98000000,0.99000000,6275,6275,0,0,6275,0,1212,0,2884,101,101,33,226,101,0,101,1111,101,226,101,0,101,1111,101,226,0
30,8014,543,0,7471,27,478,7444,0.0642127888232133261687264911337990327780763030628694250403009,0.0588658834240570402074425727418354137322544687070689235135299,0.0700092361831045911203876777226005020314764482465018045347779,6785,27,359,6758,0.0531222255105060668836934004143237644273453684522047943178455,0.0480244233171638979579269086136411981091769932191573626631728,0.0587277777240281596400090680581208779049423488893464898726320,0,5553,0.99000000,1.00000000,6785,6785,0,0,6785,0,686,0,5553,263,263,33,82,263,0,263,423,263,82,263,0,263,423,263,82,0
15,8014,525,0,7489,27,282,7462,0.0377914768158670597694987938890377914768158670597694987938890,0.0336972285567329329061838334308637439704759778661066510052086,0.0423613727345929721552389190161901867032859580476440560699342,6960,27,214,6933,0.0308668685994518967258041251983268426366652242896293091013991,0.0270482792500358561362046785497975631704284651361410340743002,0.0352050476256384567600444430351656467754149590862020600631722,0,6418,0.99000000,1.00000000,6960,6960,0,0,6960,0,529,0,6418,53,53,27,260,53,0,53,476,53,260,54,0,53,476,53,260,0
10,8014,537,0,7477,26,194,7451,0.0260367735874379277949268554556435377801637364112199704737619,0.0226578855205318110700612062554625032452792290136659512316451,0.0299041254873697323407236573840883593494570422257556008792325,7005,25,142,6980,0.0203438395415472779369627507163323782234957020057306590257880,0.0172862169211699357710237760768604295747485201745730109205575,0.0239291314680959951782889631952052244495963360503529868413189,0,6707,0.99000000,1.00000000,7006,7005,1,0,7005,0,471,0,6707,52,52,206,252,52,0,52,419,52,252,53,0,52,419,52,252,0
5,8014,521,0,7493,27,110,7466,0.0147334583444950442003750334851326011251004553978033753013662,0.0122393822440253839822159336545494418471631579068588559776036,0.0177266431468312025279756507088753591510606068496939322611976,7071,26,81,7045,0.0114975159687721788502484031227821149751596877217885024840312,0.00926079687251264884600730878240595378845664419727283033114584,0.0142666806270933952759598375628100350541136023558468318375748,0,6940,0.99000000,1.00000000,7071,7071,0,0,7071,0,422,0,6940,53,53,35,249,53,0,53,369,53,249,53,0,53,369,53,249,0
3,8014,517,0,7497,26,84,7471,0.0112434747691072145629768437960112434747691072145629768437960,0.00909125119945366763874707984362805994587586124385918116559587,0.0138980603153628024842115834279388970655015428768761031862897,7099,25,61,7074,0.00862312694373763076053152389030251625671472999717274526434832,0.00671935338305770197147745654973746708273823476033712359658719,0.0110602845973699857320825186744143161928683028443554754072565,0,7001,0.99000000,1.00000000,7099,7099,0,0,7099,0,398,0,7001,74,74,14,223,74,0,74,324,74,223,74,0,74,324,74,223,0
