utc_market_start_date,t_sec,subset,all_market_rows,N,U,n,projected_correct,projected_errors,projected_accuracy,projected_ties,twap_correct,twap_errors,twap_accuracy,twap_ties,spot_correct,spot_errors,spot_accuracy,spot_ties,both_correct,both_wrong,projected_improves_twap_count,projected_worsens_twap_count
2026-09-01,60,primary_600s,288,274,0,274,251,23,0.91605839416058394160583941605839416058394160583941605839416058394160583941605839,0,241,33,0.87956204379562043795620437956204379562043795620437956204379562043795620437956204,0,251,23,0.91605839416058394160583941605839416058394160583941605839416058394160583941605839,0,234,16,17,7
2026-09-01,60,fresh_3s,288,269,0,269,246,23,0.91449814126394052044609665427509293680297397769516728624535315985130111524163569,0,236,33,0.87732342007434944237918215613382899628252788104089219330855018587360594795539033,0,246,23,0.91449814126394052044609665427509293680297397769516728624535315985130111524163569,0,229,16,17,7
2026-09-01,30,primary_600s,288,274,0,274,265,9,0.96715328467153284671532846715328467153284671532846715328467153284671532846715328,0,257,17,0.93795620437956204379562043795620437956204379562043795620437956204379562043795620,0,264,10,0.96350364963503649635036496350364963503649635036496350364963503649635036496350365,0,253,5,12,4
2026-09-01,30,fresh_3s,288,269,0,269,260,9,0.96654275092936802973977695167286245353159851301115241635687732342007434944237918,0,252,17,0.93680297397769516728624535315985130111524163568773234200743494423791821561338290,0,259,10,0.96282527881040892193308550185873605947955390334572490706319702602230483271375465,0,248,5,12,4
2026-09-01,15,primary_600s,288,274,0,274,272,2,0.99270072992700729927007299270072992700729927007299270072992700729927007299270073,0,265,9,0.96715328467153284671532846715328467153284671532846715328467153284671532846715328,0,269,5,0.98175182481751824817518248175182481751824817518248175182481751824817518248175182,0,264,1,8,1
2026-09-01,15,fresh_3s,288,271,0,271,269,2,0.99261992619926199261992619926199261992619926199261992619926199261992619926199262,0,262,9,0.96678966789667896678966789667896678966789667896678966789667896678966789667896679,0,266,5,0.98154981549815498154981549815498154981549815498154981549815498154981549815498155,0,261,1,8,1
2026-09-01,10,primary_600s,288,274,0,274,273,1,0.99635036496350364963503649635036496350364963503649635036496350364963503649635036,0,266,8,0.97080291970802919708029197080291970802919708029197080291970802919708029197080292,0,265,9,0.96715328467153284671532846715328467153284671532846715328467153284671532846715328,0,266,1,7,0
2026-09-01,10,fresh_3s,288,268,0,268,267,1,0.99626865671641791044776119402985074626865671641791044776119402985074626865671642,0,260,8,0.97014925373134328358208955223880597014925373134328358208955223880597014925373134,0,259,9,0.96641791044776119402985074626865671641791044776119402985074626865671641791044776,0,260,1,7,0
2026-09-01,5,primary_600s,288,274,0,274,274,0,1,0,269,5,0.98175182481751824817518248175182481751824817518248175182481751824817518248175182,0,262,12,0.95620437956204379562043795620437956204379562043795620437956204379562043795620438,0,269,0,5,0
2026-09-01,5,fresh_3s,288,270,0,270,270,0,1,0,265,5,0.98148148148148148148148148148148148148148148148148148148148148148148148148148148,0,258,12,0.95555555555555555555555555555555555555555555555555555555555555555555555555555556,0,265,0,5,0
2026-09-01,3,primary_600s,288,274,0,274,274,0,1,0,270,4,0.98540145985401459854014598540145985401459854014598540145985401459854014598540146,0,257,17,0.93795620437956204379562043795620437956204379562043795620437956204379562043795620,0,270,0,4,0
2026-09-01,3,fresh_3s,288,272,0,272,272,0,1,0,268,4,0.98529411764705882352941176470588235294117647058823529411764705882352941176470588,0,256,16,0.94117647058823529411764705882352941176470588235294117647058823529411764705882353,0,268,0,4,0
2026-09-02,60,primary_600s,288,270,0,270,248,22,0.91851851851851851851851851851851851851851851851851851851851851851851851851851852,0,240,30,0.88888888888888888888888888888888888888888888888888888888888888888888888888888889,0,248,22,0.91851851851851851851851851851851851851851851851851851851851851851851851851851852,0,231,13,17,9
2026-09-02,60,fresh_3s,288,261,0,261,241,20,0.92337164750957854406130268199233716475095785440613026819923371647509578544061303,0,232,29,0.88888888888888888888888888888888888888888888888888888888888888888888888888888889,0,241,20,0.92337164750957854406130268199233716475095785440613026819923371647509578544061303,0,225,13,16,7
2026-09-02,30,primary_600s,288,270,0,270,268,2,0.99259259259259259259259259259259259259259259259259259259259259259259259259259259,0,255,15,0.94444444444444444444444444444444444444444444444444444444444444444444444444444444,0,265,5,0.98148148148148148148148148148148148148148148148148148148148148148148148148148148,0,255,2,13,0
2026-09-02,30,fresh_3s,288,263,0,263,261,2,0.99239543726235741444866920152091254752851711026615969581749049429657794676806084,0,248,15,0.94296577946768060836501901140684410646387832699619771863117870722433460076045627,0,258,5,0.98098859315589353612167300380228136882129277566539923954372623574144486692015209,0,248,2,13,0
2026-09-02,15,primary_600s,288,270,0,270,269,1,0.99629629629629629629629629629629629629629629629629629629629629629629629629629630,0,262,8,0.97037037037037037037037037037037037037037037037037037037037037037037037037037037,0,260,10,0.96296296296296296296296296296296296296296296296296296296296296296296296296296296,0,262,1,7,0
