t_sec,period,x_bin,y_bin,N,U,L,resolved,loss_rate,wilson_95_low,wilson_95_high
120,pre,"[0,1)",<-2,127,0,98,127,0.771653543307086614173228346456692913385826771653543307086614,0.691311405566617721437373772326190464412802162440208408661470,0.836044377698975412434863017602241946754174804439045457957846
120,pre,"[0,1)","[-2,0)",424,1,217,423,0.513002364066193853427895981087470449172576832151300236406619,0.465467783756525764634920161732457441126864651206476668377147,0.560302908786770121191687247844785642074033880247556461371785
120,pre,"[0,1)","[0,2)",477,1,142,476,0.298319327731092436974789915966386554621848739495798319327731,0.258965689669404988244954455338723311450022547604090391263211,0.340902149029072195062048465410539045624960752917211637573921
120,pre,"[0,1)",>=2,108,0,17,108,0.157407407407407407407407407407407407407407407407407407407407,0.100662026709167900990035677836424107801685450534713951477788,0.237687090154213767501112687309504768378526097568410043570348
120,pre,"[1,2)",<-2,112,0,73,112,0.651785714285714285714285714285714285714285714285714285714286,0.559851944496029145562569495560968037375185204892726707009831,0.733652646572934320339817246647450028634095748168255177181961
120,pre,"[1,2)","[-2,0)",314,0,109,314,0.347133757961783439490445859872611464968152866242038216560510,0.296612371510765900939665123132623706746654945988602419049200,0.401350253138030857008004649025612955167004995495685510647458
120,pre,"[1,2)","[0,2)",406,2,83,404,0.205445544554455445544554455445544554455445544554455445544554,0.168910500879678439164386184591423959374055984329120678460324,0.247529405234339868060205367538203887128023393464583924671668
120,pre,"[1,2)",>=2,117,1,14,116,0.120689655172413793103448275862068965517241379310344827586207,0.0732699653657183038259876298988554782865183400479152022690928,0.192426556806421409679357523955373156122452205754235684099727
120,pre,"[2,4)",<-2,167,2,93,165,0.563636363636363636363636363636363636363636363636363636363636,0.487369215482444509236264397954160758194252787969888333484622,0.637007819320965552808760530482706265438644378306058040383578
120,pre,"[2,4)","[-2,0)",464,0,141,464,0.303879310344827586206896551724137931034482758620689655172414,0.263782030553869914805343200319866595344689039146243420914915,0.347197294667168923330913326519421680271772859292199266176673
120,pre,"[2,4)","[0,2)",578,0,79,578,0.136678200692041522491349480968858131487889273356401384083045,0.111062646368420920104420936868298129221272941418588591519083,0.167091232780587520888797875775767332938155353816800352801209
120,pre,"[2,4)",>=2,204,0,22,204,0.107843137254901960784313725490196078431372549019607843137255,0.0723033241415770565791182808680863801810716564320116396008593,0.157879138453468491538867604615163880562482523581721187545257
120,pre,"[4,8)",<-2,253,2,96,251,0.382470119521912350597609561752988047808764940239043824701195,0.324547553959870697689811732296245252464370238367732539860263,0.443935956246715167245118715178236937183781188572505991391745
120,pre,"[4,8)","[-2,0)",458,0,72,458,0.157205240174672489082969432314410480349344978165938864628821,0.126737494772058015344760828496344801521964759475388432071220,0.193375513701034193787181040018215870447425898139808086623322
120,pre,"[4,8)","[0,2)",608,1,44,607,0.0724876441515650741350906095551894563426688632619439868204283,0.0544386762146385803384521391706933662809636558357716775617783,0.0959136901718957489286439750660080771833079612238968495894527
120,pre,"[4,8)",>=2,312,3,19,309,0.0614886731391585760517799352750809061488673139158576051779935,0.0397144239847816075743215067448189083994248477950462422938525,0.0940321036603143807999051962206071880041742695327738376171297
120,pre,"[8,infinity)",<-2,314,4,45,310,0.145161290322580645161290322580645161290322580645161290322581,0.110290597301475769888299319706455630827735946152451210383698,0.188718523970510851698477164695485004670462310818224971976076
120,pre,"[8,infinity)","[-2,0)",305,3,14,302,0.0463576158940397350993377483443708609271523178807947019867550,0.0278121742696108012240533550375888148194140763916310646102765,0.0762988214844404447264402130505305415766430310976486125070229
120,pre,"[8,infinity)","[0,2)",430,3,11,427,0.0257611241217798594847775175644028103044496487119437939110070,0.0144443296293088282879892577832975296625438505479666140992712,0.0455347143824438104041152726735700627746878956981917034562046
120,pre,"[8,infinity)",>=2,555,4,12,551,0.0217785843920145190562613430127041742286751361161524500907441,0.0125013425783324162352499421804259233691467978368941184824517,0.0376777822474703666764436361549585544296337863780123831089889
120,post,"[0,1)",<-2,8,0,5,8,0.625,0.305742394602627319361520123108521776231413693739125031044205,0.863155714176402627415909807605347775208987413663323517951653
120,post,"[0,1)","[-2,0)",70,0,31,70,0.442857142857142857142857142857142857142857142857142857142857,0.332495289093053317737164365448628195875312370371336785125412,0.559164489468120044249393191685165712886986273516764003027722
120,post,"[0,1)","[0,2)",81,0,20,81,0.246913580246913580246913580246913580246913580246913580246914,0.165903118887220715081743742386438195825488183434050698181932,0.350842578677335128674678203274533633238447453177787918937488
120,post,"[0,1)",>=2,8,0,1,8,0.125,0.022417491450056672799680864765156704300662439077102905272333,0.470888182212853486868029343093234641378134238715551447740093
120,post,"[1,2)",<-2,6,0,4,6,0.666666666666666666666666666666666666666666666666666666666667,0.299993315138392039723859213822815746224455598651117838038035,0.903228588894219518643238434463105051047002510103282733548375
120,post,"[1,2)","[-2,0)",59,0,28,59,0.474576271186440677966101694915254237288135593220338983050847,0.352658767150685466230289479187468039705236831724549206385103,0.599602048299829197094837062213521330072620651870684935174497
120,post,"[1,2)","[0,2)",58,0,12,58,0.206896551724137931034482758620689655172413793103448275862069,0.122514839694905563370089881665427476623385914865100550901828,0.327692179214834073853899326747497490589516428900752467231448
