t_sec,leader,x_bin,y_bin,N,U,L,resolved,loss_rate,wilson_95_low,wilson_95_high
120,Up,"[0,1)",<-2,77,0,59,77,0.766233766233766233766233766233766233766233766233766233766234,0.660461714721146985561441904289164614738220606757139781323525,0.846703799089504999403734276492334495714454612468537326117809
120,Up,"[0,1)","[-2,0)",256,1,131,255,0.513725490196078431372549019607843137254901960784313725490196,0.452632640520793668722052954138671628240154389727498825707177,0.574410940642334734841142976405663793300102804692401567030883
120,Up,"[0,1)","[0,2)",281,1,83,280,0.296428571428571428571428571428571428571428571428571428571429,0.245984179358479013117902345412424802427666029847299143119962,0.352383161079920102364505569089343549409982985315997306670458
120,Up,"[0,1)",>=2,59,0,10,59,0.169491525423728813559322033898305084745762711864406779661017,0.0947583934918105299700516146691756584116699422274194311870527,0.284632207364880093256593423543686148700477344510624409087725
120,Up,"[1,2)",<-2,53,0,37,53,0.698113207547169811320754716981132075471698113207547169811321,0.564631673311498862879577461658978768163475151141528626718170,0.804816972724210965258762238180231267938040869319347830001952
120,Up,"[1,2)","[-2,0)",171,0,65,171,0.380116959064327485380116959064327485380116959064327485380117,0.310751303953887497519999559802852029705435764522587687272550,0.454750538249071370711301892653130102551199750586019838365750
120,Up,"[1,2)","[0,2)",229,0,52,229,0.227074235807860262008733624454148471615720524017467248908297,0.177577987915543958889389123913556521378797472775767717249714,0.285576037002932276550426823955046145353241769464650335548786
120,Up,"[1,2)",>=2,60,0,12,60,0.2,0.118285053228974938783821952964411852962993472478367683334472,0.317818058056278974022744304672392755926588866986217128458452
120,Up,"[2,4)",<-2,82,0,40,82,0.487804878048780487804878048780487804878048780487804878048780,0.382608958606199191408258037947160771670605395946589986162919,0.594092276117949596726996975570374380990814084409847889829081
120,Up,"[2,4)","[-2,0)",243,0,75,243,0.308641975308641975308641975308641975308641975308641975308642,0.253917136317589224034319816248195343619507415697254572742835,0.369322815170643997961778295643001764063700958620205971973077
120,Up,"[2,4)","[0,2)",338,0,47,338,0.139053254437869822485207100591715976331360946745562130177515,0.106207070990771486065963058554200548955651015284177357443284,0.180011748570301241826690343380331508182157368348581951534994
120,Up,"[2,4)",>=2,107,0,11,107,0.102803738317757009345794392523364485981308411214953271028037,0.0583791720760193303625932534376934490317678009048991603850774,0.174759755322052039309708709051108976313080553212171833704283
120,Up,"[4,8)",<-2,131,1,53,130,0.407692307692307692307692307692307692307692307692307692307692,0.327047914469512543549996015081485049090845631389694929933137,0.493635450674074795043745515639864833206452729031191937755321
120,Up,"[4,8)","[-2,0)",250,0,35,250,0.14,0.102416257310274200207773724149774118252935787177039299189057,0.188479718326445893141618348968907700274160303611466059039831
120,Up,"[4,8)","[0,2)",329,0,22,329,0.0668693009118541033434650455927051671732522796352583586626140,0.0445708437555033706511472290795132442275375383521999641392716,0.0991656336358750870371795715522269535747830769646031712589522
120,Up,"[4,8)",>=2,180,2,9,178,0.0505617977528089887640449438202247191011235955056179775280899,0.0268257146973268838509700940395063815146846855961131346387875,0.0932869315734612765599761268210367227472706712117999053578055
120,Up,"[8,infinity)",<-2,168,0,22,168,0.130952380952380952380952380952380952380952380952380952380952,0.0880935233852054581571414340121934686463702021306093751322813,0.190311112777792389275047754668796461514257414285385443677523
120,Up,"[8,infinity)","[-2,0)",161,2,5,159,0.0314465408805031446540880503144654088050314465408805031446541,0.0135053861641959704468379757068839600995671186951453882554661,0.0714942135749285275595945885725964082076204355139638861685759
120,Up,"[8,infinity)","[0,2)",228,1,5,227,0.0220264317180616740088105726872246696035242290748898678414097,0.0094442079627880951332663766682539173610364997101925268868592,0.0505166798751520752785603335914199420257808467067882576699064
120,Up,"[8,infinity)",>=2,318,2,6,316,0.0189873417721518987341772151898734177215189873417721518987342,0.0087304056046500148688765522663783732633268369631315331412888,0.0407986919648273154950956769332765033359229762980655437081896
